

==================================================
BẮT ĐẦU CHẠY THÍ NGHIỆM GAT - 2026-03-10 09:48:42.923119
==================================================

[GAT - 1. MSP (No - No - No)] - cora (structure)
Namespace(dataset='cora', ood_type='structure', data_dir='../../data/', device=0, cpu=False, seed=123, train_prop=0.1, valid_prop=0.1, runs=1, epochs=200, method='msp', backbone='gat', hidden_channels=64, num_layers=2, gat_heads=8, out_heads=1, hops=2, T=1.0, use_reg=False, lamda=1.0, m_in=-5, m_out=-1, use_prop=False, K=2, alpha=0.5, noise=0.0, weight_decay=0.01, dropout=0.0, lr=0.01, use_bn=False, display_step=1, cached=False, print_prop=False, print_args=False, mode='detect', use_occ=False, beta=1.0, nu=0.01)
ind dataset cora: all nodes 2708 | centered nodes 2708 | edges 10556 | classes 7 | feats 1433
ood tr dataset cora: all nodes 2708 | centered nodes 2708 | edges 6680
ood te dataset cora: all nodes 2708 | centered nodes 2708 | edges 6696
MODEL: MSP(
  (encoder): GAT(
    (convs): ModuleList(
      (0): GATConv(1433, 64, heads=2)
      (1): GATConv(128, 7, heads=1)
    )
    (bns): ModuleList(
      (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
)
Epoch: 79, Loss: 1.9459, AUROC: 51.61%, AUPR: 33.99%, FPR95: 98.26%, Test Score: 6.40%
Epoch: 80, Loss: 1.9459, AUROC: 51.41%, AUPR: 33.88%, FPR95: 98.23%, Test Score: 6.40%
Epoch: 81, Loss: 1.9459, AUROC: 51.19%, AUPR: 33.66%, FPR95: 98.38%, Test Score: 6.40%
Epoch: 82, Loss: 1.9459, AUROC: 50.96%, AUPR: 33.38%, FPR95: 97.97%, Test Score: 7.30%
Epoch: 83, Loss: 1.9459, AUROC: 49.18%, AUPR: 32.65%, FPR95: 98.45%, Test Score: 31.90%
Epoch: 84, Loss: 1.9459, AUROC: 49.02%, AUPR: 32.63%, FPR95: 98.12%, Test Score: 31.90%
Epoch: 85, Loss: 1.9459, AUROC: 44.85%, AUPR: 28.95%, FPR95: 97.64%, Test Score: 14.80%
Epoch: 86, Loss: 1.9459, AUROC: 44.71%, AUPR: 28.85%, FPR95: 97.64%, Test Score: 14.40%
Epoch: 87, Loss: 1.9459, AUROC: 44.52%, AUPR: 28.71%, FPR95: 97.56%, Test Score: 14.40%
Epoch: 88, Loss: 1.9459, AUROC: 44.33%, AUPR: 28.58%, FPR95: 97.64%, Test Score: 14.40%
Epoch: 89, Loss: 1.9459, AUROC: 44.10%, AUPR: 28.44%, FPR95: 97.67%, Test Score: 14.40%
Epoch: 90, Loss: 1.9459, AUROC: 43.80%, AUPR: 28.26%, FPR95: 97.71%, Test Score: 14.40%
Epoch: 91, Loss: 1.9459, AUROC: 58.11%, AUPR: 35.42%, FPR95: 94.05%, Test Score: 25.70%
Epoch: 92, Loss: 1.9459, AUROC: 47.76%, AUPR: 32.53%, FPR95: 97.27%, Test Score: 31.90%
Epoch: 93, Loss: 1.9459, AUROC: 47.94%, AUPR: 32.66%, FPR95: 97.67%, Test Score: 31.90%
Epoch: 94, Loss: 1.9459, AUROC: 48.03%, AUPR: 32.78%, FPR95: 97.34%, Test Score: 31.90%
Epoch: 95, Loss: 1.9459, AUROC: 51.23%, AUPR: 32.37%, FPR95: 98.34%, Test Score: 9.30%
Epoch: 96, Loss: 1.9459, AUROC: 50.68%, AUPR: 31.72%, FPR95: 98.01%, Test Score: 6.40%
Epoch: 97, Loss: 1.9459, AUROC: 50.87%, AUPR: 31.64%, FPR95: 98.01%, Test Score: 6.40%
Epoch: 98, Loss: 1.9459, AUROC: 51.22%, AUPR: 31.80%, FPR95: 98.23%, Test Score: 6.40%
Epoch: 99, Loss: 1.9459, AUROC: 51.33%, AUPR: 31.76%, FPR95: 97.97%, Test Score: 6.40%
Epoch: 100, Loss: 1.9459, AUROC: 51.33%, AUPR: 31.85%, FPR95: 98.19%, Test Score: 6.40%
Epoch: 101, Loss: 1.9459, AUROC: 51.30%, AUPR: 31.89%, FPR95: 97.86%, Test Score: 6.40%
Epoch: 102, Loss: 1.9459, AUROC: 51.21%, AUPR: 31.74%, FPR95: 98.23%, Test Score: 6.70%
Epoch: 103, Loss: 1.9459, AUROC: 52.34%, AUPR: 34.94%, FPR95: 98.01%, Test Score: 41.40%
Epoch: 104, Loss: 1.9459, AUROC: 47.95%, AUPR: 31.43%, FPR95: 98.19%, Test Score: 32.90%
Epoch: 105, Loss: 1.9459, AUROC: 45.06%, AUPR: 28.98%, FPR95: 97.90%, Test Score: 14.80%
Epoch: 106, Loss: 1.9459, AUROC: 52.20%, AUPR: 32.30%, FPR95: 98.15%, Test Score: 13.00%
Epoch: 107, Loss: 1.9459, AUROC: 52.33%, AUPR: 32.27%, FPR95: 98.26%, Test Score: 13.00%
Epoch: 108, Loss: 1.9459, AUROC: 53.05%, AUPR: 32.52%, FPR95: 98.26%, Test Score: 13.00%
Epoch: 109, Loss: 1.9459, AUROC: 49.32%, AUPR: 31.64%, FPR95: 98.12%, Test Score: 14.90%
Epoch: 110, Loss: 1.9459, AUROC: 49.82%, AUPR: 30.74%, FPR95: 97.27%, Test Score: 9.30%
Epoch: 111, Loss: 1.9459, AUROC: 49.60%, AUPR: 30.73%, FPR95: 98.56%, Test Score: 9.10%
Epoch: 112, Loss: 1.9459, AUROC: 50.06%, AUPR: 30.80%, FPR95: 97.90%, Test Score: 9.10%
Epoch: 113, Loss: 1.9459, AUROC: 50.99%, AUPR: 31.09%, FPR95: 99.22%, Test Score: 31.90%
Epoch: 114, Loss: 1.9459, AUROC: 48.78%, AUPR: 29.67%, FPR95: 97.75%, Test Score: 31.90%
Epoch: 115, Loss: 1.9459, AUROC: 44.30%, AUPR: 28.30%, FPR95: 97.75%, Test Score: 14.40%
